topword	middleword	bottomword	chose_topword
to sell	 source	 powerful	1
 source	to sell	a leg	1
 week	 power	a story	0
 truth	a story	 power	1
a story	 truth	to destroy	1
a business	a teacher	an arm	1
a teacher	a business	green	1
to lose	a fish	to hear	1
a fish	to lose	purple	1
a shoe	 clothes	a shelf	1
 clothes	a shoe	 thin	1
 meat	a grandfather	 hair	0
 naked	 hair	a grandfather	0
a corner	a roof	 life	1
a roof	a corner	to arrive	1
a chair	 memory	 soft	0
 grass	 soft	 memory	1
 soft	 grass	 grief	1
a pillow	pink	a knife	1
pink	a pillow	a grandfather	1
to grow	a needle	orange	1
a needle	to grow	to forget	0
a thigh	to forget	to grow	0
a heel	 sad	a family	0
 hair	a family	 sad	0
 clothes	a month	blue	0
 gentle	blue	a month	1
blue	 gentle	 grass	0
a gift	 grass	 gentle	0
a story	 famous	 pain	1
 famous	a story	 truth	0
to destroy	 truth	a story	0
yellow	a mistake	 powerful	1
a mistake	yellow	 chest	1
a fish	a message	a shirt	0
a shelf	a shirt	a message	0
 meat	a grandfather	 hair	0
 naked	 hair	a grandfather	0
blue	 week	 clothes	1
 week	blue	 chest	1
a pillow	purple	a knife	0
orange	a knife	purple	1
a knife	orange	to choose	0
a collar	to choose	orange	1
to choose	a collar	an item	1
brown	a toe	to know	1
a toe	brown	 chest	1
 truth	a story	 sick	1
a story	 truth	to destroy	1
an arm	a teacher	to win	0
purple	to win	a teacher	0
to disturb	a cheek	black	1
a cheek	to disturb	a nest	1
to add	to win	purple	1
to win	to add	 child	1
 weight	 grief	 soft	1
 grief	 weight	a word	1
a mistake	 dish	to hear	0
pink	to hear	 dish	0
 weak	to carry	 source	0
orange	 source	to carry	0
an item	 weight	 weak	0
gray	 weak	 weight	0
a needle	black	 cheap	0
 milk	 cheap	black	1
 cheap	 milk	a ladder	1
a nest	 pain	a corner	0
a word	a corner	 pain	1
a corner	a word	 sad	0
to deceive	 sad	a word	1
 sad	to deceive	red	1
to choose	a teacher	a story	0
to teach	a story	a teacher	1
a story	to teach	to choose	0
a mistake	to choose	to teach	1
to choose	a mistake	to steal	1
blue	a heel	 clever	1
a heel	blue	to believe	1
a shoe	 thin	a grandfather	0
to grow	a grandfather	 thin	0
 dirt	a collar	a shelf	0
a word	a shelf	a collar	0
to grow	a grandfather	to sell	1
a grandfather	to grow	 chest	1
an item	to lose	 meat	1
to lose	an item	a toe	1
a shoe	 thick	a grandfather	1
 thick	a shoe	blue	0
to believe	blue	a shoe	0
 famous	 life	to sell	1
 life	 famous	pink	1
a chair	to arrive	a mistake	0
to steal	a mistake	to arrive	1
a mistake	to steal	 thick	1
 clothes	a leg	 sick	1
a leg	 clothes	 grass	1
a shelf	a shirt	 grass	1
a shirt	a shelf	a word	1
black	 child	to choose	1
 child	black	 people	0
 weight	 people	black	0
green	a thigh	blue	1
a thigh	green	to lose	0
an item	to lose	green	1
to lose	an item	a toe	1
a toe	an item	a roof	1
an item	a toe	 clever	1
a leg	 noise	the ground	0
a vein	the ground	 noise	0
a table	to believe	 weight	0
an item	 weight	to believe	1
 weight	an item	a toe	1
 grass	 clothes	a shelf	0
a word	a shelf	 clothes	0
the ground	to disturb	 hair	0
to know	 hair	to disturb	0
 soft	 dirt	a bed	1
 dirt	 soft	 powerful	1
 famous	 life	to sell	1
 life	 famous	pink	1
 grief	purple	 week	1
purple	 grief	a corner	1
blue	a heel	 clever	1
a heel	blue	 cheap	0
 milk	 cheap	blue	1
 cheap	 milk	a ladder	1
 sad	a word	to read	0
to teach	to read	a word	0
pink	 famous	to disturb	1
 famous	pink	to believe	1
to hear	a woman	black	0
 people	black	a woman	1
black	 people	to speak	1
to grow	a grandfather	to sell	1
a grandfather	to grow	 chest	1
 clothes	a leg	 sick	1
a leg	 clothes	a shelf	0
a word	a shelf	 clothes	0
to arrive	a bed	a teacher	1
a bed	to arrive	a chair	1
a vein	the ground	a bed	1
the ground	a vein	a thigh	0
green	a thigh	a vein	0
green	a thigh	 clothes	0
 grass	 clothes	a thigh	0
a thigh	a needle	a business	0
to sell	a business	a needle	1
a business	to sell	a woman	1
purple	to seek	a mistake	0
to steal	a mistake	to seek	1
a mistake	to steal	a cheek	1
a leg	 noise	the ground	0
a vein	the ground	 noise	1
the ground	a vein	 pain	1
a collar	a boot	a heel	0
blue	a heel	a boot	0
 cheap	green	to believe	1
green	 cheap	 milk	0
a ladder	 milk	 cheap	0
orange	 source	a table	1
 source	orange	to believe	1
 thin	 dish	to add	1
 dish	 thin	a grandfather	1
 naked	 truth	white	1
 truth	 naked	 memory	1
the ground	to disturb	 hair	0
to know	 hair	to disturb	0
 week	purple	 grief	0
a corner	 grief	purple	0
 weak	to carry	 source	1
to carry	 weak	gray	1
 weight	to know	white	1
to know	 weight	 source	1
a story	to teach	to choose	1
to teach	a story	 child	1
 source	 weight	an item	0
a toe	an item	 weight	0
a shelf	a shirt	 grass	1
a shirt	a shelf	a word	1
to believe	blue	 cheap	0
 milk	 cheap	blue	1
 cheap	 milk	a ladder	1
 cheap	pink	 grief	1
pink	 cheap	 milk	0
a ladder	 milk	 cheap	0
 weak	to carry	 source	1
to carry	 weak	gray	1
a family	a nose	a gift	1
a nose	a family	to sell	1
to win	 chest	 sick	1
 chest	to win	an item	0
a toe	an item	to win	0
a word	a box	an arm	1
a box	a word	 sad	1
to seek	a cloud	a box	1
a cloud	to seek	purple	1
 noise	 soft	 powerful	1
 soft	 noise	a leg	1
to believe	gray	a box	0
an arm	a box	gray	0
a vein	the ground	a bed	1
the ground	a vein	 pain	1
 meat	to win	an item	0
a toe	an item	to win	0
a leg	 noise	the ground	0
a bed	the ground	 noise	0
to choose	a teacher	a story	0
 child	a story	a teacher	1
a story	 child	black	1
a bed	 dirt	 soft	0
 powerful	 soft	 dirt	0
to arrive	a bed	a teacher	1
a bed	to arrive	a chair	0
to destroy	a chair	to arrive	0
 people	black	to believe	1
black	 people	to speak	1
to teach	to read	yellow	1
to read	to teach	a story	1
to win	 chest	green	1
 chest	to win	 meat	1
 other	a message	 sad	1
a message	 other	brown	1
a message	a nose	 source	0
to arrive	 source	a nose	1
 source	to arrive	 clothes	1
 pain	a chair	 grief	0
a story	 grief	a chair	0
 week	white	blue	0
 under	blue	white	0
a picture	 truth	 thick	0
a knife	 thick	 truth	0
 cheap	 other	 child	0
a collar	 child	 other	1
 child	a collar	to melt	0
 truth	to melt	a collar	1
to melt	 truth	a picture	0
green	a picture	 truth	1
a chair	a cloud	pink	0
a toe	pink	a cloud	1
pink	a toe	 gentle	1
a reason	 chest	a roof	0
an arm	a roof	 chest	0
a box	 naked	red	0
 under	red	 naked	1
red	 under	to believe	0
 thick	to believe	 under	0
to steal	to lose	a leg	1
to lose	to steal	to hear	1
green	a picture	to sell	0
purple	to sell	a picture	1
to sell	purple	 week	1
 milk	a leg	 clever	0
a bed	 clever	a leg	0
a heel	to know	 thick	0
to lose	 thick	to know	1
 thick	to lose	a leg	0
 clever	a leg	to lose	0
a thigh	 milk	white	1
 milk	a thigh	a roof	0
an arm	a roof	a thigh	0
a gift	a vein	to teach	1
a vein	a gift	a woman	0
to deceive	a woman	a gift	0
a gift	a vein	to teach	0
a collar	to teach	a vein	1
to teach	a collar	to melt	0
 truth	to melt	a collar	1
to melt	 truth	a picture	0
to sell	a picture	 truth	1
 memory	a message	green	1
a message	 memory	 powerful	0
to seek	 powerful	 memory	0
pink	a cloud	a chair	1
a cloud	pink	 weak	1
to know	to teach	a collar	1
to teach	to know	 thick	1
 grief	a chair	 pain	0
a story	 pain	a chair	1
 pain	a story	to sell	0
purple	to sell	a story	0
a cloud	a word	 memory	0
 powerful	 memory	a word	0
a leg	to win	to steal	0
to hear	to steal	to win	1
to steal	to hear	to eat	0
white	to eat	to hear	1
to eat	white	a family	0
a needle	a family	white	0
to eat	to speak	a word	1
to speak	to eat	a month	1
a message	a nose	 source	1
a nose	a message	 memory	0
 powerful	 memory	a message	1
 memory	 powerful	to seek	1
 memory	a word	a cloud	1
a word	 memory	 powerful	1
 pain	a chair	 grief	0
a story	 grief	a chair	1
 grief	a story	to sell	1
a chair	red	 under	0
to believe	 under	red	1
 under	to believe	 thick	0
gray	 thick	to believe	1
 thick	gray	 week	0
 hair	 week	gray	0
purple	to sell	to hear	1
to sell	purple	a corner	0
to choose	a corner	purple	1
a corner	to choose	 thin	0
a knife	 thin	to choose	1
 thin	a knife	to teach	1
 grass	a business	a needle	1
a business	 grass	a vein	0
a gift	a vein	 grass	0
 clever	a leg	 milk	0
a thigh	 milk	a leg	1
 milk	a thigh	a roof	1
a heel	to hear	to eat	0
a month	to eat	to hear	1
to eat	a month	 other	0
 cheap	 other	a month	1
 other	 cheap	a fish	1
pink	a cloud	a chair	1
a cloud	pink	a toe	1
a gift	a vein	to teach	0
a collar	to teach	a vein	1
to teach	a collar	to melt	1
to read	a knife	to teach	0
to know	to teach	a knife	1
to teach	to know	a heel	1
a month	to eat	white	0
 sick	white	to eat	1
white	 sick	black	0
a family	black	 sick	1
black	a family	a needle	1
 dish	 power	to seek	0
 thin	to seek	 power	1
to seek	 thin	gray	1
a teacher	 dish	white	0
a family	white	 dish	1
white	a family	to grow	1
to sell	a story	to disturb	0
brown	to disturb	a story	1
to disturb	brown	 sick	0
black	 sick	brown	1
 sick	black	a family	0
a needle	a family	black	0
to seek	 powerful	 dish	0
a teacher	 dish	 powerful	1
 dish	a teacher	a collar	0
a cheek	a collar	a teacher	1
a collar	a cheek	a message	1
to know	to teach	a collar	1
to teach	to know	a heel	1
a knife	 thin	to lose	0
to steal	to lose	 thin	1
to lose	to steal	to hear	1
 other	 week	 hair	1
 week	 other	 cheap	0
a fish	 cheap	 other	1
 cheap	a fish	white	0
 sick	white	a fish	1
white	 sick	 money	1
 thin	to seek	a pillow	0
 soft	a pillow	to seek	1
a pillow	 soft	to lose	1
 truth	to melt	a knife	0
to read	a knife	to melt	1
a knife	to read	to disturb	0
to forget	to disturb	to read	1
to disturb	to forget	a heel	1
 child	 people	a heel	1
 people	 child	a collar	1
to steal	to grow	 country	1
to grow	to steal	to hear	0
to eat	to hear	to steal	1
to hear	to eat	a month	1
to win	 weak	gray	0
a corner	gray	 weak	1
gray	a corner	to choose	0
a pillow	to choose	a corner	0
 thick	to believe	a heel	1
to believe	 thick	gray	1
a shirt	a nest	 sad	0
 money	 sad	a nest	0
 hair	 week	 other	1
 week	 hair	a business	0
 grass	a business	 hair	0
a nose	 grass	a vein	0
a gift	a vein	 grass	1
a vein	a gift	a woman	0
to deceive	a woman	a gift	1
a woman	to deceive	a shelf	1
 life	to add	 meat	1
to add	 life	a grandfather	0
to grow	a grandfather	 life	1
a grandfather	to grow	 country	1
a nose	 grass	a vein	1
 grass	a nose	 source	0
to arrive	 source	a nose	1
 source	to arrive	 clothes	0
to melt	 clothes	to arrive	0
to forget	to disturb	brown	1
to disturb	to forget	 meat	0
white	 meat	to forget	1
 meat	white	 week	0
 other	 week	white	0
 naked	 money	a needle	0
to deceive	a needle	 money	0
a bed	the ground	a vein	0
to destroy	a vein	the ground	0
orange	 week	a message	0
a mistake	a message	 week	1
a message	a mistake	black	0
 cheap	black	a mistake	1
black	 cheap	a story	1
to know	an arm	to win	0
 country	to win	an arm	1
to win	 country	a nose	1
 weight	a chair	 thick	0
 famous	 thick	a chair	0
white	to seek	a thigh	1
to seek	white	a collar	0
 child	a collar	white	0
to teach	to eat	to melt	0
 source	to melt	to eat	0
 gentle	to grow	pink	1
to grow	 gentle	to lose	1
to teach	 dish	to choose	0
a thigh	to choose	 dish	0
a gift	to forget	 other	0
a grandfather	 other	to forget	0
to teach	a fish	gray	0
a knife	gray	a fish	0
white	to choose	a gift	0
to arrive	a gift	to choose	1
a gift	to arrive	a thigh	1
 sad	an item	to arrive	0
a family	to arrive	an item	1
to arrive	a family	a nest	0
 dirt	a nest	a family	0
white	to seek	a thigh	1
to seek	white	 cheap	1
to lose	 soft	a cloud	0
 chest	a cloud	 soft	0
 hair	 weak	a ladder	1
 weak	 hair	blue	0
 money	blue	 hair	0
 soft	 powerful	a box	0
 dirt	a box	 powerful	0
 thick	a pillow	a toe	1
a pillow	 thick	 famous	1
a shelf	a corner	a reason	1
a corner	a shelf	 weight	1
a word	 people	a gift	1
 people	a word	 dish	1
a shoe	a story	a picture	0
the ground	a picture	a story	0
a woman	 source	 sick	1
 source	a woman	a table	1
 naked	 money	a needle	0
to deceive	a needle	 money	0
 naked	 money	a needle	0
to deceive	a needle	 money	0
pink	to lose	 country	0
a word	 country	to lose	1
 country	a word	 dish	1
gray	a fish	to teach	1
a fish	gray	a knife	1
a thigh	to choose	white	0
a shirt	white	to choose	1
white	a shirt	 truth	1
an item	 sad	 powerful	0
 soft	 powerful	 sad	0
 pain	pink	to eat	0
to melt	to eat	pink	1
to eat	to melt	 source	1
 clothes	to believe	a gift	0
to arrive	a gift	to believe	1
a gift	to arrive	a family	0
 under	a family	to arrive	0
a fish	 weight	pink	1
 weight	a fish	to teach	1
a family	to arrive	a thigh	1
to arrive	a family	a nest	1
to read	 clothes	blue	0
a knife	blue	 clothes	0
a nest	a family	 under	1
a family	a nest	 grief	1
a cheek	yellow	a knife	1
yellow	a cheek	to bother	1
a shoe	a story	a picture	0
the ground	a picture	a story	0
a cheek	orange	to disturb	1
orange	a cheek	to bother	1
 child	black	a shirt	0
to read	a shirt	black	0
a story	 cheap	a needle	0
to deceive	a needle	 cheap	0
 clever	a shoe	a teacher	1
a shoe	 clever	a boot	1
an item	 sick	a corner	1
 sick	an item	 sad	1
 thin	to deceive	 noise	0
purple	 noise	to deceive	0
 thick	a pillow	a toe	1
a pillow	 thick	a ladder	1
a fish	 weight	pink	1
 weight	a fish	gray	1
 week	 dirt	a vein	0
to destroy	a vein	 dirt	0
to lose	 soft	a cloud	0
 chest	a cloud	 soft	0
 other	to bother	a gift	1
to bother	 other	a grandfather	1
to lose	 soft	a cloud	0
 chest	a cloud	 soft	0
 grief	a nest	 dirt	0
 week	 dirt	a nest	0
a collar	white	a shirt	1
white	a collar	 child	1
a toe	a pillow	 thick	0
a ladder	 thick	a pillow	0
a reason	a shelf	 weight	0
a fish	 weight	a shelf	1
 weight	a fish	gray	0
 cheap	gray	a fish	0
 other	to disturb	purple	1
to disturb	 other	a grandfather	1
a cheek	blue	 money	1
blue	a cheek	to bother	1
 under	a grandfather	a nest	0
 dirt	a nest	a grandfather	1
a nest	 dirt	a vein	1
a word	 people	a gift	1
 people	a word	 dish	1
 child	a collar	to read	1
a collar	 child	a business	1
 clothes	to believe	a gift	0
to arrive	a gift	to believe	1
a gift	to arrive	a family	0
a nest	a family	to arrive	1
a family	a nest	 grief	1
to steal	 under	 life	1
 under	to steal	a needle	1
a business	a woman	a table	1
a woman	a business	 memory	1
a ladder	 thin	 famous	0
to add	 famous	 thin	0
a pillow	a heel	a teacher	0
red	a teacher	a heel	0
a box	 power	 soft	1
 power	a box	 dirt	1
a collar	brown	a shirt	0
to read	a shirt	brown	0
 dirt	a box	a reason	1
a box	 dirt	 week	1
an item	 sick	a corner	1
 sick	an item	 sad	1
to add	 famous	 soft	1
 famous	to add	to carry	0
a leg	to carry	to add	0
 hair	 weak	a ladder	1
 weak	 hair	blue	1
 gentle	to grow	pink	1
to grow	 gentle	a cloud	0
 chest	a cloud	 gentle	0
to steal	 famous	a chair	1
 famous	to steal	to know	0
brown	to know	to steal	0
 other	to believe	brown	1
to believe	 other	to bother	1
a cloud	brown	 meat	0
to lose	 meat	brown	0
to teach	blue	a mistake	1
blue	to teach	 hair	1
brown	to know	 other	0
to bother	 other	to know	0
 powerful	a woman	to deceive	1
a woman	 powerful	a chair	1
 people	white	 meat	0
to lose	 meat	white	0
a shelf	 milk	to lose	1
 milk	a shelf	a story	0
the ground	a story	a shelf	0
to teach	blue	a mistake	1
blue	to teach	 hair	1
to read	to disturb	a bed	1
to disturb	to read	to sell	0
 pain	to sell	to read	0
a collar	a mistake	to seek	1
a mistake	a collar	 thick	0
 sad	 thick	a collar	0
to grow	 gentle	a reason	1
 gentle	to grow	to speak	0
yellow	to speak	to grow	0
to believe	 life	a shoe	1
 life	to believe	 other	1
 milk	an arm	a picture	0
the ground	a picture	an arm	0
 sick	the ground	a cheek	1
the ground	 sick	 memory	1
 gentle	to arrive	a corner	0
white	a corner	to arrive	0
a cheek	 grass	 week	1
 grass	a cheek	to arrive	1
an item	a box	a story	1
a box	an item	to hear	1
to forget	 grief	a woman	1
 grief	to forget	a grandfather	1
 chest	 people	brown	1
 people	 chest	a boot	0
a shirt	a boot	 chest	1
a boot	a shirt	a fish	1
a gift	to deceive	to know	0
brown	to know	to deceive	0
 memory	 sick	a nose	0
to choose	a nose	 sick	0
gray	a knife	a heel	1
a knife	gray	a table	0
a family	a table	gray	1
a table	a family	a shoe	1
red	a bed	 cheap	0
blue	 cheap	a bed	0
 grief	 weak	to win	1
 weak	 grief	to forget	0
a grandfather	to forget	 grief	0
a shelf	 milk	to lose	1
 milk	a shelf	a story	0
the ground	a story	a shelf	0
a table	gray	to teach	1
gray	a table	a family	0
a shoe	a family	a table	0
 famous	 memory	to forget	0
a grandfather	to forget	 memory	0
a message	to lose	 country	1
to lose	a message	 naked	1
 thin	a fish	to lose	1
a fish	 thin	to win	0
 country	to win	 thin	1
to win	 country	a needle	1
a woman	 pain	to forget	0
a grandfather	to forget	 pain	0
to steal	 famous	a chair	1
 famous	to steal	to know	0
brown	to know	to steal	0
a roof	 weight	a message	1
 weight	a roof	 under	0
 source	 under	a roof	0
 pain	to sell	to know	0
brown	to know	to sell	0
a fish	a shirt	 weak	0
 grief	 weak	a shirt	1
 weak	 grief	to forget	0
a grandfather	to forget	 grief	0
 memory	 sick	a nose	0
to choose	a nose	 sick	0
a pillow	a heel	orange	1
a heel	a pillow	 cheap	0
blue	 cheap	a pillow	0
 source	 under	 money	0
to add	 money	 under	1
 money	to add	purple	1
to speak	to grow	a message	1
to grow	to speak	yellow	1
 pain	to sell	to know	0
brown	to know	to sell	0
to disturb	 clever	a chair	1
 clever	to disturb	to read	1
a story	a shelf	a family	1
a shelf	a story	the ground	1
 famous	 memory	to forget	0
a grandfather	to forget	 memory	0
 noise	a teacher	 hair	1
a teacher	 noise	 clever	0
to disturb	 clever	 noise	1
 clever	to disturb	to read	1
 memory	 sick	a nose	0
to choose	a nose	 sick	0
a teacher	a month	 life	0
to believe	 life	a month	1
 life	to believe	 other	1
 weak	 clothes	a fish	1
 clothes	 weak	 grief	0
to forget	 grief	 weak	1
 grief	to forget	a grandfather	1
 country	to win	a message	1
to win	 country	a needle	1
 naked	a message	an arm	1
a message	 naked	pink	0
a nest	pink	 naked	0
a nest	pink	 dirt	1
pink	a nest	 power	0
 child	 power	a nest	0
a message	to lose	 country	1
to lose	a message	 naked	1
to bother	 other	 chest	0
a boot	 chest	 other	1
 chest	a boot	a shirt	0
a fish	a shirt	a boot	0
a thigh	a business	a shoe	0
a toe	a shoe	a business	1
a shoe	a toe	orange	1
a shoe	a family	 grass	1
a family	a shoe	a toe	0
orange	a toe	a shoe	0
 other	to believe	brown	1
to believe	 other	to bother	1
a corner	 milk	 source	0
to add	 source	 milk	1
 source	to add	to eat	0
to grow	to eat	to add	0
a ladder	 soft	to steal	1
 soft	a ladder	a business	0
a picture	a business	a ladder	0
a story	a pillow	 hair	0
a leg	 hair	a pillow	1
 hair	a leg	to bother	1
 other	 hair	a leg	0
a boot	a leg	 hair	1
a leg	a boot	a message	1
 naked	 pain	purple	0
a nest	purple	 pain	0
to melt	a shirt	 soft	0
a ladder	 soft	a shirt	0
to disturb	a cheek	 weak	1
a cheek	to disturb	 powerful	0
to lose	 powerful	to disturb	0
 weight	 under	to hear	1
 under	 weight	a grandfather	1
to speak	 life	 country	0
 famous	 country	 life	0
a nest	yellow	 week	1
yellow	a nest	green	0
to believe	green	a nest	0
a heel	 child	 money	1
 child	a heel	 sick	1
a story	a bed	to seek	1
a bed	a story	a cheek	1
yellow	to lose	a thigh	0
 power	a thigh	to lose	1
a thigh	 power	a vein	1
a pillow	yellow	to believe	1
yellow	a pillow	a story	0
a cheek	a story	a pillow	0
a bed	to choose	to sell	0
a gift	to sell	to choose	0
 life	red	to believe	0
to forget	to believe	red	1
to believe	to forget	 clothes	1
a shoe	 truth	to forget	0
a box	to forget	 truth	0
an arm	 memory	purple	0
to deceive	purple	 memory	0
 under	a mistake	to add	1
a mistake	 under	 weight	0
a grandfather	 weight	 under	0
 life	orange	a pillow	1
orange	 life	to speak	0
a cloud	to speak	 life	0
 hair	a pillow	a story	1
a pillow	 hair	a leg	0
a boot	a leg	 hair	1
a leg	a boot	 sad	1
black	a table	to seek	1
a table	black	a nose	0
to disturb	a nose	black	0
 sad	a shoe	 sick	0
 child	 sick	a shoe	1
 sick	 child	a heel	1
yellow	to lose	a thigh	0
 power	a thigh	to lose	0
to read	to speak	a cloud	1
to speak	to read	the ground	1
 child	 sick	 people	0
a month	 people	 sick	0
a ladder	 soft	to steal	0
to choose	to steal	 soft	1
to steal	to choose	a bed	1
 hair	a bed	a story	0
the ground	a story	a bed	0
a shoe	 truth	to forget	0
 clothes	to forget	 truth	0
a bed	to choose	to sell	0
a gift	to sell	to choose	0
 soft	a collar	to carry	0
to teach	to carry	a collar	0
 clothes	to hear	to read	0
the ground	to read	to hear	0
to win	a toe	 sick	1
a toe	to win	a thigh	0
a boot	a thigh	to win	1
a thigh	a boot	a message	1
a collar	a word	a cloud	1
a word	a collar	 soft	0
a ladder	 soft	a collar	0
white	a month	 child	1
a month	white	a nose	0
 weak	a nose	white	0
yellow	to lose	a thigh	0
to bother	a thigh	to lose	0
a teacher	a message	 dirt	1
a message	a teacher	 money	1
 thin	 noise	 thick	0
a toe	 thick	 noise	1
 thick	a toe	to win	1
 money	a teacher	 dish	1
a teacher	 money	a word	1
 gentle	a cloud	 meat	1
a cloud	 gentle	to steal	1
an item	a vein	 grief	1
a vein	an item	a knife	1
to bother	a leg	a boot	0
a message	a boot	a leg	0
a shirt	 naked	to melt	1
 naked	a shirt	to carry	0
to teach	to carry	a shirt	0
to steal	 gentle	a ladder	0
a business	a ladder	 gentle	1
a ladder	a business	a picture	1
 dish	to teach	 money	0
a gift	 money	to teach	1
 money	a gift	blue	1
 sick	a heel	to win	0
yellow	to win	a heel	0
to lose	 powerful	a vein	1
 powerful	to lose	yellow	1
 thin	 noise	 thick	0
a toe	 thick	 noise	1
 thick	a toe	to win	1
a cloud	to speak	to read	0
the ground	to read	to speak	0
a picture	a business	 country	0
 famous	 country	a business	1
 country	 famous	to lose	1
to disturb	a nose	 weak	0
to know	 weak	a nose	0
a ladder	 thick	a needle	1
 thick	a ladder	a business	0
a picture	a business	a ladder	0
 sick	a toe	to win	0
a thigh	to win	a toe	0
 milk	 source	to add	0
to eat	to add	 source	1
to add	to eat	gray	1
to arrive	a woman	a heel	0
 sick	a heel	a woman	0
green	a nest	a fish	1
a nest	green	to believe	1
a table	to arrive	a bed	0
a story	a bed	to arrive	0
a message	a boot	 sad	1
a boot	a message	a teacher	0
 dish	a teacher	a message	0
a gift	to sell	to choose	0
a bed	to choose	to sell	0
a thigh	to lose	yellow	1
to lose	a thigh	 power	0
a vein	 power	a thigh	0
 clothes	to hear	to read	0
the ground	to read	to hear	0
 milk	 source	to add	0
to eat	to add	 source	0
 famous	 country	a month	1
 country	 famous	a mistake	1
white	a month	 grass	0
 pain	 grass	a month	0
to hear	a roof	a business	0
a picture	a business	a roof	0
a woman	a knife	 grief	0
purple	 grief	a knife	0
to teach	to carry	a grandfather	1
to carry	to teach	 dish	1
 famous	to forget	a word	0
a chair	a word	to forget	0
gray	a collar	 chest	0
blue	 chest	a collar	0
to lose	a fish	a collar	1
a fish	to lose	 milk	1
to arrive	a box	a needle	0
a cloud	a needle	a box	0
green	to disturb	 life	0
to choose	 life	to disturb	1
 life	to choose	to grow	0
a family	to grow	to choose	1
to grow	a family	 sick	1
 dirt	black	to carry	1
black	 dirt	 meat	0
to lose	 meat	 dirt	0
 dirt	pink	to destroy	0
a corner	to destroy	pink	0
to win	to seek	to grow	1
to seek	to win	to forget	1
 grass	a nose	 clever	0
orange	 clever	a nose	0
 dirt	purple	to destroy	0
a corner	to destroy	purple	1
to destroy	a corner	 gentle	0
to believe	 gentle	a corner	1
 gentle	to believe	to eat	0
a heel	to eat	to believe	0
 child	 other	a business	1
 other	 child	a message	0
a picture	a message	 child	1
a message	a picture	to steal	1
 chest	a shirt	to hear	1
a shirt	 chest	 soft	1
a woman	a ladder	a table	0
white	a table	a ladder	0
to bother	pink	a pillow	0
a grandfather	a pillow	pink	0
a heel	to eat	to lose	0
 milk	to lose	to eat	0
 naked	 dish	a collar	0
 chest	a collar	 dish	1
a collar	 chest	blue	1
 naked	 dish	to lose	0
to forget	to lose	 dish	1
to lose	to forget	a word	0
a ladder	a word	to forget	0
 dish	 noise	green	0
to bother	green	 noise	0
to read	a woman	a message	1
a woman	to read	 country	0
to add	 country	to read	0
to arrive	a gift	 under	1
a gift	to arrive	to grow	0
a family	to grow	to arrive	1
to grow	a family	 sick	0
 other	 sick	a family	1
 sick	 other	 child	0
to bother	gray	a reason	1
gray	to bother	 life	0
